country,link
Afghanistan,https://www.cia.gov/the-world-factbook/countries/afghanistan
Angola,https://www.cia.gov/the-world-factbook/countries/angola
Albania,https://www.cia.gov/the-world-factbook/countries/albania
Andorra,https://www.cia.gov/the-world-factbook/countries/andorra
UAE,https://www.cia.gov/the-world-factbook/countries/uae
Argentina,https://www.cia.gov/the-world-factbook/countries/argentina
Armenia,https://www.cia.gov/the-world-factbook/countries/armenia
Antigua and Barbuda,https://www.cia.gov/the-world-factbook/countries/antigua-and-barbuda
Australia,https://www.cia.gov/the-world-factbook/countries/australia
Austria,https://www.cia.gov/the-world-factbook/countries/austria
Azerbaijan,https://www.cia.gov/the-world-factbook/countries/azerbaijan
Burundi,https://www.cia.gov/the-world-factbook/countries/burundi
Belgium,https://www.cia.gov/the-world-factbook/countries/belgium
Benin,https://www.cia.gov/the-world-factbook/countries/benin
Burkina Faso,https://www.cia.gov/the-world-factbook/countries/burkina-faso
Bangladesh,https://www.cia.gov/the-world-factbook/countries/bangladesh
Bulgaria,https://www.cia.gov/the-world-factbook/countries/bulgaria
Bahrain,https://www.cia.gov/the-world-factbook/countries/bahrain
Bahamas,https://www.cia.gov/the-world-factbook/countries/bahamas
Bosnia and Herzegovina,https://www.cia.gov/the-world-factbook/countries/bosnia-and-herzegovina
Belarus,https://www.cia.gov/the-world-factbook/countries/belarus
Belize,https://www.cia.gov/the-world-factbook/countries/belize
Bolivia,https://www.cia.gov/the-world-factbook/countries/bolivia
Brazil,https://www.cia.gov/the-world-factbook/countries/brazil
Barbados,https://www.cia.gov/the-world-factbook/countries/barbados
Brunei,https://www.cia.gov/the-world-factbook/countries/brunei
Bhutan,https://www.cia.gov/the-world-factbook/countries/bhutan
Botswana,https://www.cia.gov/the-world-factbook/countries/botswana
Central African Republic,https://www.cia.gov/the-world-factbook/countries/central-african-republic
Canada,https://www.cia.gov/the-world-factbook/countries/canada
Switzerland,https://www.cia.gov/the-world-factbook/countries/switzerland
Chile,https://www.cia.gov/the-world-factbook/countries/chile
China,https://www.cia.gov/the-world-factbook/countries/china
Cote d'Ivoire,https://www.cia.gov/the-world-factbook/countries/cote-d'ivoire
Cameroon,https://www.cia.gov/the-world-factbook/countries/cameroon
"Congo, Dem. Rep.","https://www.cia.gov/the-world-factbook/countries/congo,-dem.-rep."
"Congo, Rep.","https://www.cia.gov/the-world-factbook/countries/congo,-rep."
Colombia,https://www.cia.gov/the-world-factbook/countries/colombia
Comoros,https://www.cia.gov/the-world-factbook/countries/comoros
Cape Verde,https://www.cia.gov/the-world-factbook/countries/cape-verde
Costa Rica,https://www.cia.gov/the-world-factbook/countries/costa-rica
Cuba,https://www.cia.gov/the-world-factbook/countries/cuba
Cyprus,https://www.cia.gov/the-world-factbook/countries/cyprus
Czech Republic,https://www.cia.gov/the-world-factbook/countries/czech-republic
Germany,https://www.cia.gov/the-world-factbook/countries/germany
Djibouti,https://www.cia.gov/the-world-factbook/countries/djibouti
Dominica,https://www.cia.gov/the-world-factbook/countries/dominica
Denmark,https://www.cia.gov/the-world-factbook/countries/denmark
Dominican Republic,https://www.cia.gov/the-world-factbook/countries/dominican-republic
Algeria,https://www.cia.gov/the-world-factbook/countries/algeria
Ecuador,https://www.cia.gov/the-world-factbook/countries/ecuador
Egypt,https://www.cia.gov/the-world-factbook/countries/egypt
Eritrea,https://www.cia.gov/the-world-factbook/countries/eritrea
Spain,https://www.cia.gov/the-world-factbook/countries/spain
Estonia,https://www.cia.gov/the-world-factbook/countries/estonia
Ethiopia,https://www.cia.gov/the-world-factbook/countries/ethiopia
Finland,https://www.cia.gov/the-world-factbook/countries/finland
Fiji,https://www.cia.gov/the-world-factbook/countries/fiji
France,https://www.cia.gov/the-world-factbook/countries/france
"Micronesia, Fed. Sts.","https://www.cia.gov/the-world-factbook/countries/micronesia,-fed.-sts."
Gabon,https://www.cia.gov/the-world-factbook/countries/gabon
UK,https://www.cia.gov/the-world-factbook/countries/united-kingdom
Georgia,https://www.cia.gov/the-world-factbook/countries/georgia
Ghana,https://www.cia.gov/the-world-factbook/countries/ghana
Guinea,https://www.cia.gov/the-world-factbook/countries/guinea
Gambia,https://www.cia.gov/the-world-factbook/countries/gambia
Guinea-Bissau,https://www.cia.gov/the-world-factbook/countries/guinea-bissau
Equatorial Guinea,https://www.cia.gov/the-world-factbook/countries/equatorial-guinea
Greece,https://www.cia.gov/the-world-factbook/countries/greece
Grenada,https://www.cia.gov/the-world-factbook/countries/grenada
Guatemala,https://www.cia.gov/the-world-factbook/countries/guatemala
Guyana,https://www.cia.gov/the-world-factbook/countries/guyana
"Hong Kong, China","https://www.cia.gov/the-world-factbook/countries/hong-kong,-china"
Honduras,https://www.cia.gov/the-world-factbook/countries/honduras
Croatia,https://www.cia.gov/the-world-factbook/countries/croatia
Haiti,https://www.cia.gov/the-world-factbook/countries/haiti
Hungary,https://www.cia.gov/the-world-factbook/countries/hungary
Indonesia,https://www.cia.gov/the-world-factbook/countries/indonesia
India,https://www.cia.gov/the-world-factbook/countries/india
Ireland,https://www.cia.gov/the-world-factbook/countries/ireland
Iran,https://www.cia.gov/the-world-factbook/countries/iran
Iraq,https://www.cia.gov/the-world-factbook/countries/iraq
Iceland,https://www.cia.gov/the-world-factbook/countries/iceland
Israel,https://www.cia.gov/the-world-factbook/countries/israel
Italy,https://www.cia.gov/the-world-factbook/countries/italy
Jamaica,https://www.cia.gov/the-world-factbook/countries/jamaica
Jordan,https://www.cia.gov/the-world-factbook/countries/jordan
Japan,https://www.cia.gov/the-world-factbook/countries/japan
Kazakhstan,https://www.cia.gov/the-world-factbook/countries/kazakhstan
Kenya,https://www.cia.gov/the-world-factbook/countries/kenya
Kyrgyz Republic,https://www.cia.gov/the-world-factbook/countries/kyrgyz-republic
Cambodia,https://www.cia.gov/the-world-factbook/countries/cambodia
Kiribati,https://www.cia.gov/the-world-factbook/countries/kiribati
St. Kitts and Nevis,https://www.cia.gov/the-world-factbook/countries/st.-kitts-and-nevis
South Korea,https://www.cia.gov/the-world-factbook/countries/south-korea
Kuwait,https://www.cia.gov/the-world-factbook/countries/kuwait
Lao,https://www.cia.gov/the-world-factbook/countries/lao
Lebanon,https://www.cia.gov/the-world-factbook/countries/lebanon
Liberia,https://www.cia.gov/the-world-factbook/countries/liberia
Libya,https://www.cia.gov/the-world-factbook/countries/libya
St. Lucia,https://www.cia.gov/the-world-factbook/countries/st.-lucia
Liechtenstein,https://www.cia.gov/the-world-factbook/countries/liechtenstein
Sri Lanka,https://www.cia.gov/the-world-factbook/countries/sri-lanka
Lesotho,https://www.cia.gov/the-world-factbook/countries/lesotho
Lithuania,https://www.cia.gov/the-world-factbook/countries/lithuania
Luxembourg,https://www.cia.gov/the-world-factbook/countries/luxembourg
Latvia,https://www.cia.gov/the-world-factbook/countries/latvia
Morocco,https://www.cia.gov/the-world-factbook/countries/morocco
Monaco,https://www.cia.gov/the-world-factbook/countries/monaco
Moldova,https://www.cia.gov/the-world-factbook/countries/moldova
Madagascar,https://www.cia.gov/the-world-factbook/countries/madagascar
Maldives,https://www.cia.gov/the-world-factbook/countries/maldives
Mexico,https://www.cia.gov/the-world-factbook/countries/mexico
Marshall Islands,https://www.cia.gov/the-world-factbook/countries/marshall-islands
North Macedonia,https://www.cia.gov/the-world-factbook/countries/north-macedonia
Mali,https://www.cia.gov/the-world-factbook/countries/mali
Malta,https://www.cia.gov/the-world-factbook/countries/malta
Myanmar,https://www.cia.gov/the-world-factbook/countries/myanmar
Montenegro,https://www.cia.gov/the-world-factbook/countries/montenegro
Mongolia,https://www.cia.gov/the-world-factbook/countries/mongolia
Mozambique,https://www.cia.gov/the-world-factbook/countries/mozambique
Mauritania,https://www.cia.gov/the-world-factbook/countries/mauritania
Mauritius,https://www.cia.gov/the-world-factbook/countries/mauritius
Malawi,https://www.cia.gov/the-world-factbook/countries/malawi
Malaysia,https://www.cia.gov/the-world-factbook/countries/malaysia
Namibia,https://www.cia.gov/the-world-factbook/countries/namibia
Niger,https://www.cia.gov/the-world-factbook/countries/niger
Nigeria,https://www.cia.gov/the-world-factbook/countries/nigeria
Nicaragua,https://www.cia.gov/the-world-factbook/countries/nicaragua
Netherlands,https://www.cia.gov/the-world-factbook/countries/netherlands
Norway,https://www.cia.gov/the-world-factbook/countries/norway
Nepal,https://www.cia.gov/the-world-factbook/countries/nepal
Nauru,https://www.cia.gov/the-world-factbook/countries/nauru
New Zealand,https://www.cia.gov/the-world-factbook/countries/new-zealand
Oman,https://www.cia.gov/the-world-factbook/countries/oman
Pakistan,https://www.cia.gov/the-world-factbook/countries/pakistan
Panama,https://www.cia.gov/the-world-factbook/countries/panama
Peru,https://www.cia.gov/the-world-factbook/countries/peru
Philippines,https://www.cia.gov/the-world-factbook/countries/philippines
Palau,https://www.cia.gov/the-world-factbook/countries/palau
Papua New Guinea,https://www.cia.gov/the-world-factbook/countries/papua-new-guinea
Poland,https://www.cia.gov/the-world-factbook/countries/poland
North Korea,https://www.cia.gov/the-world-factbook/countries/north-korea
Portugal,https://www.cia.gov/the-world-factbook/countries/portugal
Paraguay,https://www.cia.gov/the-world-factbook/countries/paraguay
Palestine,https://www.cia.gov/the-world-factbook/countries/palestine
Qatar,https://www.cia.gov/the-world-factbook/countries/qatar
Romania,https://www.cia.gov/the-world-factbook/countries/romania
Russia,https://www.cia.gov/the-world-factbook/countries/russia
Rwanda,https://www.cia.gov/the-world-factbook/countries/rwanda
Saudi Arabia,https://www.cia.gov/the-world-factbook/countries/saudi-arabia
Sudan,https://www.cia.gov/the-world-factbook/countries/sudan
Senegal,https://www.cia.gov/the-world-factbook/countries/senegal
Singapore,https://www.cia.gov/the-world-factbook/countries/singapore
Solomon Islands,https://www.cia.gov/the-world-factbook/countries/solomon-islands
Sierra Leone,https://www.cia.gov/the-world-factbook/countries/sierra-leone
El Salvador,https://www.cia.gov/the-world-factbook/countries/el-salvador
San Marino,https://www.cia.gov/the-world-factbook/countries/san-marino
Somalia,https://www.cia.gov/the-world-factbook/countries/somalia
Serbia,https://www.cia.gov/the-world-factbook/countries/serbia
South Sudan,https://www.cia.gov/the-world-factbook/countries/south-sudan
Sao Tome and Principe,https://www.cia.gov/the-world-factbook/countries/sao-tome-and-principe
Suriname,https://www.cia.gov/the-world-factbook/countries/suriname
Slovak Republic,https://www.cia.gov/the-world-factbook/countries/slovak-republic
Slovenia,https://www.cia.gov/the-world-factbook/countries/slovenia
Sweden,https://www.cia.gov/the-world-factbook/countries/sweden
Eswatini,https://www.cia.gov/the-world-factbook/countries/eswatini
Seychelles,https://www.cia.gov/the-world-factbook/countries/seychelles
Syria,https://www.cia.gov/the-world-factbook/countries/syria
Chad,https://www.cia.gov/the-world-factbook/countries/chad
Togo,https://www.cia.gov/the-world-factbook/countries/togo
Thailand,https://www.cia.gov/the-world-factbook/countries/thailand
Tajikistan,https://www.cia.gov/the-world-factbook/countries/tajikistan
Turkmenistan,https://www.cia.gov/the-world-factbook/countries/turkmenistan
Timor-Leste,https://www.cia.gov/the-world-factbook/countries/timor-leste
Tonga,https://www.cia.gov/the-world-factbook/countries/tonga
Trinidad and Tobago,https://www.cia.gov/the-world-factbook/countries/trinidad-and-tobago
Tunisia,https://www.cia.gov/the-world-factbook/countries/tunisia
Turkey,https://www.cia.gov/the-world-factbook/countries/turkey
Tuvalu,https://www.cia.gov/the-world-factbook/countries/tuvalu
Taiwan,https://www.cia.gov/the-world-factbook/countries/taiwan
Tanzania,https://www.cia.gov/the-world-factbook/countries/tanzania
Uganda,https://www.cia.gov/the-world-factbook/countries/uganda
Ukraine,https://www.cia.gov/the-world-factbook/countries/ukraine
Uruguay,https://www.cia.gov/the-world-factbook/countries/uruguay
USA,https://www.cia.gov/the-world-factbook/countries/united-states
Uzbekistan,https://www.cia.gov/the-world-factbook/countries/uzbekistan
St. Vincent and the Grenadines,https://www.cia.gov/the-world-factbook/countries/st.-vincent-and-the-grenadines
Venezuela,https://www.cia.gov/the-world-factbook/countries/venezuela
Vietnam,https://www.cia.gov/the-world-factbook/countries/vietnam
Vanuatu,https://www.cia.gov/the-world-factbook/countries/vanuatu
Samoa,https://www.cia.gov/the-world-factbook/countries/samoa
Yemen,https://www.cia.gov/the-world-factbook/countries/yemen
South Africa,https://www.cia.gov/the-world-factbook/countries/south-africa
Zambia,https://www.cia.gov/the-world-factbook/countries/zambia
Zimbabwe,https://www.cia.gov/the-world-factbook/countries/zimbabwe
